id,name,inserttime,validfrom,validto,sourceid,styleid,sku,listprice,url,releasedate,retiredate,framecolour,lensid,fitid,genderid,note,image,imagesmall
705,Matte Black/Black Iridium Polarized,2017-06-15 17:18:53,2017-06-15 21:18:53,NULL,2,441,24-207,$1100,http://www.o-review.com/glassesdetail.asp?ID=5559,May 2011,0,Matte Black,8,1,NULL,NULL,http://www.o-review.com/images/Elite/PitBoss_MatteBlackIndy_BlackPolarized.jpg,http://www.o-review.com/images/Elite/small/PitBoss_MatteBlackIndy_BlackPolarized.jpg
706,Black/Grey,2017-06-15 17:18:54,2017-06-15 21:18:53,NULL,2,603,30-485,$69,http://www.o-review.com/glassesdetail.asp?ID=3918,May 2008,NULL,Black,37,1,NULL,NULL,http://www.o-review.com/images/Frogskins/XX_Black_Grey.jpg,http://www.o-review.com/images/Frogskins/small/XX_Black_Grey.jpg
707,Polished/VR28 Black Iridium Polarized,2017-06-15 17:18:56,2017-06-15 21:18:55,NULL,2,443,OO6011-05,$405,http://www.o-review.com/glassesdetail.asp?ID=5002,November 2009,NULL,Polished,72,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_Polished_VR28BlackPolarized.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_Polished_VR28BlackPolarized.jpg
708,Pewter/+Red Iridium,2017-06-15 17:19:04,2017-06-15 21:19:03,NULL,2,462,05-711,$120,http://www.o-review.com/glassesdetail.asp?ID=487,NULL,2005,Pewter,1,1,NULL,NULL,http://www.o-review.com/images/Wire/Wiretap_Pewter_Red.jpg,http://www.o-review.com/images/Wire/small/Wiretap_Pewter_Red.jpg
709,Bronze/Bronze Polarized,2017-06-15 17:19:09,2017-06-15 21:19:09,NULL,2,637,04-679,$240,http://www.o-review.com/glassesdetail.asp?ID=340,2000,2005,Bronze,14,1,NULL,NULL,http://www.o-review.com/images/Jackets/WaterJacket_Bronze_BronzePolarized.jpg,http://www.o-review.com/images/Jackets/small/WaterJacket_Bronze_BronzePolarized.jpg
710,Black/Grey,2017-06-15 17:19:17,2017-06-15 21:19:16,NULL,2,603,04-355,$95,http://www.o-review.com/glassesdetail.asp?ID=74,NULL,NULL,Black,37,1,NULL,NULL,http://www.o-review.com/images/Frogskins/XX_Black_Grey.jpg,http://www.o-review.com/images/Frogskins/small/XX_Black_Grey.jpg
711,Matte Black/Titanium/Black Iridium Polarized,2017-06-15 17:19:18,2017-06-15 21:19:18,NULL,2,441,03-303,$595,http://www.o-review.com/glassesdetail.asp?ID=4710,May 2009,NULL,Matte Black/Titanium,8,1,NULL,NULL,http://www.o-review.com/images/Elite/PitBoss_MatteBlackTitanium_BlackPolarized.jpg,http://www.o-review.com/images/Elite/small/PitBoss_MatteBlackTitanium_BlackPolarized.jpg
712,Polished Carbon/Black Iridium Polarized,2017-06-15 17:19:20,2017-06-15 21:19:20,NULL,2,443,OO6011-06,$405,http://www.o-review.com/glassesdetail.asp?ID=5003,November 2009,NULL,Polished Carbon,8,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_PolishedCarbon_BlackPolarized.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_PolishedCarbon_BlackPolarized.jpg
713,Silver/Fire Iridium,2017-06-15 17:19:27,2017-06-15 21:19:26,NULL,2,462,05-713,$125,http://www.o-review.com/glassesdetail.asp?ID=488,NULL,2005,Silver,23,1,NULL,NULL,http://www.o-review.com/images/Wire/Wiretap_Silver_Fire.jpg,http://www.o-review.com/images/Wire/small/Wiretap_Silver_Fire.jpg
714,Jet Black/VR28,2017-06-15 17:19:34,2017-06-15 21:19:33,NULL,2,637,04-675,$190,http://www.o-review.com/glassesdetail.asp?ID=27,2000,2005,Jet Black,70,1,NULL,NULL,http://www.o-review.com/images/Jackets/WaterJacket_JetBlack_VR28.jpg,http://www.o-review.com/images/Jackets/small/WaterJacket_JetBlack_VR28.jpg
715,Black/Grey Polarized,2017-06-15 17:19:39,2017-06-15 21:19:39,NULL,2,603,11-083,$75,http://www.o-review.com/glassesdetail.asp?ID=1902,NULL,NULL,Black,38,1,NULL,NULL,NULL,NULL
716,X-Metal/Ruby Iridium,2017-06-15 17:19:40,2017-06-15 21:19:40,NULL,2,443,OO6011-03,$360,http://www.o-review.com/glassesdetail.asp?ID=5000,November 2009,NULL,X-Metal,60,1,NULL,NULL,http://www.o-review.com/images/X-Metal/X-Squared_X-Metal_Ruby.jpg,http://www.o-review.com/images/X-Metal/small/X-Squared_X-Metal_Ruby.jpg
717,Matte Rootbeer/Bronze/Tungsten Iridium Polarized,2017-06-15 17:19:41,2017-06-15 21:19:40,NULL,2,441,03-305,$595,http://www.o-review.com/glassesdetail.asp?ID=4712,May 2009,NULL,Matte Rootbeer/Bronze,67,1,NULL,NULL,http://www.o-review.com/images/Elite/PitBoss_MatteRootbeerBronze_TungstenPolarized.jpg,http://www.o-review.com/images/Elite/small/PitBoss_MatteRootbeerBronze_TungstenPolarized.jpg
718,Silver/Ice Iridium,2017-06-15 17:19:46,2017-06-15 21:19:45,NULL,2,462,05-710,$125,http://www.o-review.com/glassesdetail.asp?ID=489,NULL,2005,Silver,42,1,NULL,NULL,http://www.o-review.com/images/Wire/Wiretap_Silver_Ice.jpg,http://www.o-review.com/images/Wire/small/Wiretap_Silver_Ice.jpg
719,24K/24K Gold Iridium,2017-06-15 17:19:53,2017-06-15 21:19:52,NULL,2,444,04-145,$375,http://www.o-review.com/glassesdetail.asp?ID=4769,March 2009,NULL,24K,3,1,NULL,NULL,http://www.o-review.com/images/X-Metal/XMetalXX_24K_24K.jpg,http://www.o-review.com/images/X-Metal/small/XMetalXX_24K_24K.jpg
720,24K/24K Gold Iridium,2017-06-15 17:20:00,2017-06-15 21:19:59,NULL,2,444,04-122,$325,http://www.o-review.com/glassesdetail.asp?ID=164,1999,2006,24K,3,1,NULL,NULL,http://www.o-review.com/images/X-Metal/XMetalXX_24K_24K.jpg,http://www.o-review.com/images/X-Metal/small/XMetalXX_24K_24K.jpg
721,New Blue/VR28,2017-06-15 17:20:02,2017-06-15 21:20:01,NULL,2,637,04-676,$190,http://www.o-review.com/glassesdetail.asp?ID=28,2000,2005,New Blue,70,1,NULL,NULL,http://www.o-review.com/images/Jackets/WaterJacket_Blue_VR28.jpg,http://www.o-review.com/images/Jackets/small/WaterJacket_Blue_VR28.jpg
722,Black (Colorado)/Gold Iridium,2017-06-15 17:20:03,2017-06-15 21:20:02,NULL,2,603,13-827,$120,http://www.o-review.com/glassesdetail.asp?ID=974,NULL,NULL,Black (Colorado),34,1,NULL,NULL,NULL,NULL
723,Polished Black/Gunmetal/Black Iridium Polarized,2017-06-15 17:20:04,2017-06-15 21:20:04,NULL,2,441,24-204,$750,http://www.o-review.com/glassesdetail.asp?ID=5276,September 2010,April 2011,Polished Black/Gunmetal,8,1,NULL,NULL,http://www.o-review.com/images/Elite/PitBoss_PolishedBlackGunmetal_BlackPolarized.jpg,http://www.o-review.com/images/Elite/small/PitBoss_PolishedBlackGunmetal_BlackPolarized.jpg
724,Silver/VR28 Black Iridium,2017-06-15 17:20:08,2017-06-15 21:20:07,NULL,2,462,05-714,$120,http://www.o-review.com/glassesdetail.asp?ID=490,NULL,2003,Silver,71,1,NULL,NULL,http://www.o-review.com/images/Wire/Wiretap_Silver_VR28Black.jpg,http://www.o-review.com/images/Wire/small/Wiretap_Silver_VR28Black.jpg
725,Plasma/Ice Iridium,2017-06-15 17:20:08,2017-06-15 21:20:07,NULL,2,444,04-125,$275,http://www.o-review.com/glassesdetail.asp?ID=167,1999,2003,Plasma,42,1,NULL,NULL,http://www.o-review.com/images/X-Metal/XMetalXX_Plasma_Ice.jpg,http://www.o-review.com/images/X-Metal/small/XMetalXX_Plasma_Ice.jpg
726,TiO2/Black Iridium,2017-06-15 17:20:16,2017-06-15 21:20:16,NULL,2,444,04-121,$275,http://www.o-review.com/glassesdetail.asp?ID=166,1999,2006,TiO2,7,1,NULL,NULL,http://www.o-review.com/images/X-Metal/XMetalXX_TiO2_Black.jpg,http://www.o-review.com/images/X-Metal/small/XMetalXX_TiO2_Black.jpg
727,X-Metal/Black Iridium,2017-06-15 17:20:22,2017-06-15 21:20:22,NULL,2,444,04-144,$325,http://www.o-review.com/glassesdetail.asp?ID=4770,March 2009,NULL,X-Metal,7,1,NULL,NULL,http://www.o-review.com/images/X-Metal/XMetalXX_Xmetal_Black.jpg,http://www.o-review.com/images/X-Metal/small/XMetalXX_Xmetal_Black.jpg
728,Polished Black/Gunmetal/VR28 Black Iridium Polarized,2017-06-15 17:20:25,2017-06-15 21:20:25,NULL,2,441,03-304,$595,http://www.o-review.com/glassesdetail.asp?ID=4711,May 2009,NULL,Polished Black/Gunmetal,72,1,NULL,NULL,http://www.o-review.com/images/Elite/PitBoss_PolishedBlackGunmetal_VR28BlackPolarized.jpg,http://www.o-review.com/images/Elite/small/PitBoss_PolishedBlackGunmetal_VR28BlackPolarized.jpg
729,Polished Black/Black Iridium Polarized,2017-06-15 17:20:27,2017-06-15 21:20:26,NULL,2,637,04-678,$250,http://www.o-review.com/glassesdetail.asp?ID=575,2000,NULL,Polished Black,8,1,NULL,NULL,http://www.o-review.com/images/Jackets/WaterJacket_JetBlack_BlackPolarized.jpg,http://www.o-review.com/images/Jackets/small/WaterJacket_JetBlack_BlackPolarized.jpg
730,X-Metal/Black Iridium,2017-06-15 17:20:29,2017-06-15 21:20:28,NULL,2,444,04-120,$275,http://www.o-review.com/glassesdetail.asp?ID=165,1999,2006,X-Metal,7,1,NULL,NULL,http://www.o-review.com/images/X-Metal/XMetalXX_Xmetal_Black.jpg,http://www.o-review.com/images/X-Metal/small/XMetalXX_Xmetal_Black.jpg
731,Black Skull/Black Iridium,2017-06-15 17:20:29,2017-06-15 21:20:28,NULL,2,603,04-297,$120,http://www.o-review.com/glassesdetail.asp?ID=73,NULL,NULL,Black Skull,7,1,NULL,NULL,NULL,NULL
732,Black Chrome/Black Iridium,2017-06-15 17:20:31,2017-06-15 21:20:30,NULL,2,463,05-873,$180,http://www.o-review.com/glassesdetail.asp?ID=1103,2005,NULL,Black Chrome,7,1,NULL,NULL,http://www.o-review.com/images/Wire/Why82_BlackChrome_Black.jpg,http://www.o-review.com/images/Wire/small/Why82_BlackChrome_Black.jpg
733,Polished Black/G30 Iridium,2017-06-15 17:20:44,2017-06-15 21:20:44,NULL,2,637,04-677,$190,http://www.o-review.com/glassesdetail.asp?ID=26,2000,2005,Polished Black,29,1,NULL,NULL,http://www.o-review.com/images/Jackets/WaterJacket_JetBlack_G30.jpg,http://www.o-review.com/images/Jackets/small/WaterJacket_JetBlack_G30.jpg
734,Aluminum/Grey Polarized,2017-06-15 17:20:50,2017-06-15 21:20:50,NULL,2,442,05-051,$1500,http://www.o-review.com/glassesdetail.asp?ID=4918,November 2009,NULL,Aluminum,38,1,NULL,NULL,http://www.o-review.com/images/Elite/CSix_Aluminum_GreyPolarized.jpg,http://www.o-review.com/images/Elite/small/CSix_Aluminum_GreyPolarized.jpg
735,Brown/Bronze Polarized,2017-06-15 17:20:51,2017-06-15 21:20:50,NULL,2,463,05-871,$240,http://www.o-review.com/glassesdetail.asp?ID=1717,2005,NULL,Brown,14,1,NULL,NULL,http://www.o-review.com/images/Wire/Why82_Brown_BronzePolarized.jpg,http://www.o-review.com/images/Wire/small/Why82_Brown_BronzePolarized.jpg
736,Bronze/Titanium Iridium Polarized,2017-06-15 17:20:53,2017-06-15 21:20:52,NULL,2,603,12-805,None,http://www.o-review.com/glassesdetail.asp?ID=849,NULL,NULL,Bronze,65,1,NULL,NULL,NULL,NULL
737,Carbon/Black Iridium,2017-06-15 17:21:02,2017-06-15 21:21:02,NULL,2,445,04-154,$375,http://www.o-review.com/glassesdetail.asp?ID=4772,March 2009,NULL,Carbon,7,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_Carbon_Black.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_Carbon_Black.jpg
738,Black/Black Iridium Polarized,2017-06-15 17:21:08,2017-06-15 21:21:08,NULL,2,638,12-837J,$180,http://www.o-review.com/glassesdetail.asp?ID=2566,NULL,2005,Black,8,1,NULL,NULL,http://www.o-review.com/images/Jackets/Valve_Black_Black.jpg,http://www.o-review.com/images/Jackets/small/Valve_Black_Black.jpg
739,Matte Black/Amber Black Iridium Polarized,2017-06-15 17:21:09,2017-06-15 21:21:08,NULL,2,463,12-862,$250,http://www.o-review.com/glassesdetail.asp?ID=1950,2005,NULL,Matte Black,5,1,NULL,NULL,http://www.o-review.com/images/Wire/Why82_MatteBlack_AmberBlackPolarized.jpg,http://www.o-review.com/images/Wire/small/Why82_MatteBlack_AmberBlackPolarized.jpg
740,Carbon Fiber/Tungsten Iridium Polarized,2017-06-15 17:21:10,2017-06-15 21:21:09,NULL,2,442,05-050,$4000,http://www.o-review.com/glassesdetail.asp?ID=4917,November 2009,NULL,Carbon Fiber,67,1,NULL,NULL,http://www.o-review.com/images/Elite/CSix_CarbonFiber_TungstenIridiumPolarized.jpg,http://www.o-review.com/images/Elite/small/CSix_CarbonFiber_TungstenIridiumPolarized.jpg
741,Burgundy (Alabama)/Black Iridium,2017-06-15 17:21:16,2017-06-15 21:21:15,NULL,2,603,13-835,$120,http://www.o-review.com/glassesdetail.asp?ID=625,NULL,NULL,Burgundy (Alabama),7,1,NULL,NULL,NULL,NULL
742,Carbon/Black Iridium,2017-06-15 17:21:23,2017-06-15 21:21:22,NULL,2,445,04-137,$375,http://www.o-review.com/glassesdetail.asp?ID=1091,2004,NULL,Carbon,7,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_Carbon_Black.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_Carbon_Black.jpg
743,Matte Black/Black-Clear Gradient,2017-06-15 17:21:29,2017-06-15 21:21:28,NULL,2,463,05-891,$180,http://www.o-review.com/glassesdetail.asp?ID=1718,2005,NULL,Matte Black,91,1,NULL,NULL,http://www.o-review.com/images/Wire/Why82_MatteBlack_BlackGradient.jpg,http://www.o-review.com/images/Wire/small/Why82_MatteBlack_BlackGradient.jpg
744,Black - FMJ+ (Asian Fit)/Black Iridium,2017-06-15 17:21:33,2017-06-15 21:21:32,NULL,2,638,03-875J,$115,http://www.o-review.com/glassesdetail.asp?ID=1803,2005,NULL,Black - FMJ+ (Asian Fit),7,2,NULL,NULL,http://www.o-review.com/images/Jackets/Valve_Black_Black.jpg,http://www.o-review.com/images/Jackets/small/Valve_Black_Black.jpg
745,Burgundy (Florida State)/Gold Iridium,2017-06-15 17:21:37,2017-06-15 21:21:37,NULL,2,603,13-826,$120,http://www.o-review.com/glassesdetail.asp?ID=1321,NULL,NULL,Burgundy (Florida State),34,1,NULL,NULL,NULL,NULL
746,Carbon/Fire Iridium,2017-06-15 17:21:46,2017-06-15 21:21:45,NULL,2,445,12-718,$385,http://www.o-review.com/glassesdetail.asp?ID=2110,2006,NULL,Carbon,23,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_Carbon_Ruby.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_Carbon_Ruby.jpg
747,Polished Gold/Bronze,2017-06-15 17:21:51,2017-06-15 21:21:51,NULL,2,463,05-870,$170,http://www.o-review.com/glassesdetail.asp?ID=1716,2005,NULL,Polished Gold,13,1,NULL,NULL,http://www.o-review.com/images/Wire/Why82_PolishedGold_Bronze.jpg,http://www.o-review.com/images/Wire/small/Why82_PolishedGold_Bronze.jpg
748,Blue - FMJ+ (Asian Fit)/Black Iridium,2017-06-15 17:21:54,2017-06-15 21:21:53,NULL,2,638,03-877J,$115,http://www.o-review.com/glassesdetail.asp?ID=1805,2005,NULL,Blue - FMJ+ (Asian Fit),7,2,NULL,NULL,http://www.o-review.com/images/Jackets/Valve_Blue_Black.jpg,http://www.o-review.com/images/Jackets/small/Valve_Blue_Black.jpg
749,Burnt Orange (Texas)/Black Iridium,2017-06-15 17:22:00,2017-06-15 21:22:00,NULL,2,603,13-829,$120,http://www.o-review.com/glassesdetail.asp?ID=971,NULL,NULL,Burnt Orange (Texas),7,1,NULL,NULL,NULL,NULL
750,Plasma/Gold Iridium,2017-06-15 17:22:08,2017-06-15 21:22:08,NULL,2,445,04-138,$375,http://www.o-review.com/glassesdetail.asp?ID=1090,2004,NULL,Plasma,34,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_Plasma_Gold.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_Plasma_Gold.jpg
751,Black Chrome/Bronze Polarized,2017-06-15 17:22:15,2017-06-15 21:22:15,NULL,2,464,12-831,$240,http://www.o-review.com/glassesdetail.asp?ID=986,2004,NULL,Black Chrome,14,1,NULL,NULL,http://www.o-review.com/images/Wire/Why81_BlackChrome_BronzePolarized.jpg,http://www.o-review.com/images/Wire/small/Why81_BlackChrome_BronzePolarized.jpg
752,Cardinal (Oklahoma)/Black Iridium,2017-06-15 17:22:21,2017-06-15 21:22:21,NULL,2,603,13-832,$120,http://www.o-review.com/glassesdetail.asp?ID=1214,NULL,NULL,Cardinal (Oklahoma),7,1,NULL,NULL,NULL,NULL
753,Bronze (Asian Fit)/Titanium Iridium Polarized,2017-06-15 17:22:25,2017-06-15 21:22:24,NULL,2,638,03-878J,$180,http://www.o-review.com/glassesdetail.asp?ID=1806,2005,NULL,Bronze (Asian Fit),65,2,NULL,NULL,http://www.o-review.com/images/Jackets/Valve_Bronze_TitaniumPolarized.jpg,http://www.o-review.com/images/Jackets/small/Valve_Bronze_TitaniumPolarized.jpg
754,Polished/Titanium Iridium,2017-06-15 17:22:30,2017-06-15 21:22:29,NULL,2,445,04-156,$385,http://www.o-review.com/glassesdetail.asp?ID=4773,March 2009,NULL,Polished,64,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_Polished_Titanium.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_Polished_Titanium.jpg
755,Black Chrome/G30 Black Iridium,2017-06-15 17:22:40,2017-06-15 21:22:39,NULL,2,464,12-661,$175,http://www.o-review.com/glassesdetail.asp?ID=507,2004,2005,Black Chrome,28,1,NULL,NULL,http://www.o-review.com/images/Wire/Why81_BlackChrome_G30Black.jpg,http://www.o-review.com/images/Wire/small/Why81_BlackChrome_G30Black.jpg
756,Cardinal (Stanford)/Black Iridium,2017-06-15 17:22:45,2017-06-15 21:22:44,NULL,2,603,13-837,$120,http://www.o-review.com/glassesdetail.asp?ID=2192,NULL,NULL,Cardinal (Stanford),7,1,NULL,NULL,NULL,NULL
757,Dark Grey/Grey,2017-06-15 17:22:48,2017-06-15 21:22:47,NULL,2,638,03-880J,$115,http://www.o-review.com/glassesdetail.asp?ID=2565,NULL,2005,Dark Grey,37,1,NULL,NULL,http://www.o-review.com/images/Jackets/Valve_DarkGrey_Grey.jpg,http://www.o-review.com/images/Jackets/small/Valve_DarkGrey_Grey.jpg
758,Polished/Titanium Iridium,2017-06-15 17:22:48,2017-06-15 21:22:48,NULL,2,445,04-139,$385,http://www.o-review.com/glassesdetail.asp?ID=1089,2004,NULL,Polished,64,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_Polished_Titanium.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_Polished_Titanium.jpg
759,Black Chrome/Ice Iridium,2017-06-15 17:23:01,2017-06-15 21:23:00,NULL,2,464,05-880,$180,http://www.o-review.com/glassesdetail.asp?ID=510,2004,NULL,Black Chrome,42,1,NULL,NULL,http://www.o-review.com/images/Wire/Why81_BlackChrome_Ice.jpg,http://www.o-review.com/images/Wire/small/Why81_BlackChrome_Ice.jpg
760,Cardinal (Texas A&M;)/Black Iridium,2017-06-15 17:23:04,2017-06-15 21:23:04,NULL,2,603,13-849,$120,http://www.o-review.com/glassesdetail.asp?ID=2193,NULL,NULL,Cardinal (Texas A&M;),7,1,NULL,NULL,NULL,NULL
761,X-Metal/Black Iridium Polarized,2017-06-15 17:23:06,2017-06-15 21:23:06,NULL,2,445,04-157,$435,http://www.o-review.com/glassesdetail.asp?ID=4771,March 2009,NULL,X-Metal,8,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_XMetal_Black.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_XMetal_Black.jpg
762,Dark Grey/Ice Iridium,2017-06-15 17:23:09,2017-06-15 21:23:08,NULL,2,638,04-675J,$125,http://www.o-review.com/glassesdetail.asp?ID=2055,2004,2005,Dark Grey,42,1,NULL,NULL,http://www.o-review.com/images/Jackets/Montoya_Valve.jpg,http://www.o-review.com/images/Jackets/small/Montoya_Valve.jpg
763,Brown/VR28 Black Iridium,2017-06-15 17:23:19,2017-06-15 21:23:19,NULL,2,464,05-878,$180,http://www.o-review.com/glassesdetail.asp?ID=509,2004,2005,Brown,71,1,NULL,NULL,http://www.o-review.com/images/Wire/Why81_Brown_VR28Black.jpg,http://www.o-review.com/images/Wire/small/Why81_Brown_VR28Black.jpg
764,X-Metal/Black Iridium Polarized,2017-06-15 17:23:27,2017-06-15 21:23:27,NULL,2,445,12-687,$435,http://www.o-review.com/glassesdetail.asp?ID=595,2004,NULL,X-Metal,8,1,NULL,NULL,http://www.o-review.com/images/X-Metal/RomeoII_XMetal_Black.jpg,http://www.o-review.com/images/X-Metal/small/RomeoII_XMetal_Black.jpg
765,Cardinal (USC)/Gold Iridium,2017-06-15 17:23:28,2017-06-15 21:23:27,NULL,2,603,13-839,$120,http://www.o-review.com/glassesdetail.asp?ID=2206,NULL,NULL,Cardinal (USC),34,1,NULL,NULL,NULL,NULL
766,FMJ Platinum - FMJ+ (Asian Fit)/Gold Iridium,2017-06-15 17:23:30,2017-06-15 21:23:29,NULL,2,638,03-876J,$150,http://www.o-review.com/glassesdetail.asp?ID=1804,2005,NULL,FMJ Platinum - FMJ+ (Asian Fit),34,2,NULL,NULL,http://www.o-review.com/images/Jackets/Valve_PlatinumFMJ_Gold.jpg,http://www.o-review.com/images/Jackets/small/Valve_PlatinumFMJ_Gold.jpg
767,Light/Black Iridium,2017-06-15 17:23:43,2017-06-15 21:23:43,NULL,2,464,05-879,$180,http://www.o-review.com/glassesdetail.asp?ID=508,2004,NULL,Light,7,1,NULL,NULL,http://www.o-review.com/images/Wire/Why81_Light_Black.jpg,http://www.o-review.com/images/Wire/small/Why81_Light_Black.jpg
768,Crystal Black/Fire Iridium,2017-06-15 17:23:51,2017-06-15 21:23:50,NULL,2,603,04-299,$105,http://www.o-review.com/glassesdetail.asp?ID=375,NULL,NULL,Crystal Black,23,1,NULL,NULL,NULL,NULL
